Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_14390,2017,Australia,Human,,,AUS,5
485_17532,2017,Australia,Human,,,AUS,5
485_17548,2017,Australia,Human,,,AUS,13
485_8865,2015,United Kingdom,Human,Human,Human,GBR,15
485_700,1998,Canada,Human,Human,Human,CAN,651
485_141,2009,USA,Human,Human,Human,USA,35
485_13823,2017,Australia,Human,,,AUS,12
485_12988,2017,Australia,Human,,,AUS,9
485_5212,2013,Belgium,Human,Human,Human,BEL,9
485_12904,2017,Australia,Human,,,AUS,12
485_14230,2017,Australia,Human,,,AUS,1106
485_6845,2015,New Zealand,Human,Human,Human,NZL,79
485_789,2010,Canada,Human,Human,Human,CAN,1
485_14239,2017,Australia,Human,,,AUS,12
485_9392,2013,United Kingdom,Human,Human,Human,GBR,255
485_8589,2015,United Kingdom,Human,Human,Human,GBR,10
485_14273,2017,Australia,Human,,,AUS,5
485_16991,2017,Australia,Human,,,AUS,2
485_131,2009,USA,Human,Human,Human,USA,1202
485_9518,2015,Japan,Human,Human,Human,JPN,324
485_4387,2012,USA,Human,Human,Human,USA,43
485_15044,2017,Australia,Human,,,AUS,6
485_4069,2013,USA,Human,Human,Human,USA,27
485_13988,2017,Australia,Human,,,AUS,7
485_9018,2015,United Kingdom,Human,Human,Human,GBR,259
485_8996,2015,United Kingdom,Human,Human,Human,GBR,214
485_4474,2013,USA,Human,Human,Human,USA,59
485_9683,2011,Australia,Human,Human,Human,AUS,146
485_4991,2013,Spain,Human,Human,Human,ESP,35
485_8489,2015,United Kingdom,Human,Human,Human,GBR,50
485_13462,2017,Australia,Human,,,AUS,28
485_3892,2013,USA,Human,Human,Human,USA,32
485_4217,2013,USA,Human,Human,Human,USA,6
485_13266,2017,Australia,Human,,,AUS,4
485_8784,2015,United Kingdom,Human,Human,Human,GBR,9
485_13644,2017,Australia,Human,,,AUS,9
485_270,2009,USA,Human,Human,Human,USA,1
485_9418,2016,United Kingdom,Human,Human,Human,GBR,5
485_5235,2013,Netherlands,Human,Human,Human,NLD,16
485_9744,2014,Australia,Human,Human,Human,AUS,8
485_5370,2013,United Kingdom,Human,Human,Human,GBR,6
485_8558,2013,United Kingdom,Human,Human,Human,GBR,16
485_144,2009,USA,Human,Human,Human,USA,1
485_13569,2017,Australia,Human,,,AUS,5
485_840,2012,Canada,Human,Human,Human,CAN,161
485_12879,2017,Australia,Human,,,AUS,18
485_8514,2016,United Kingdom,Human,Human,Human,GBR,3
485_13604,2017,Australia,Human,,,AUS,10
485_8463,2014,United Kingdom,Human,Human,Human,GBR,15
485_4985,2013,Spain,Human,Human,Human,ESP,829
485_4382,2012,USA,Human,Human,Human,USA,117
485_9626,1997,Japan,Human,Human,Human,JPN,183
485_9156,2013,United Kingdom,Human,Human,Human,GBR,482
485_13618,2017,Australia,Human,,,AUS,8
485_9716,2013,Australia,Human,Human,Human,AUS,1
485_4502,2012,USA,Human,Human,Human,USA,91
485_6924,2015,New Zealand,Human,Human,Human,NZL,1
485_5473,2013,Portugal,Human,Human,Human,PRT,1
485_761,2010,Canada,Human,Human,Human,CAN,2
485_17071,2017,Australia,Human,,,AUS,13
485_16564,2017,Australia,Human,,,AUS,92
485_9733,2013,Australia,Human,Human,Human,AUS,242
485_17043,2017,Australia,Human,,,AUS,3
485_15530,2017,Australia,Human,,,AUS,4
485_9297,2013,United Kingdom,Human,Human,Human,GBR,55
485_12918,2017,Australia,Human,,,AUS,18
485_5428,2013,Portugal,Human,Human,Human,PRT,6
485_17556,2017,Australia,Human,,,AUS,7
485_17555,2017,Australia,Human,,,AUS,7
485_196,2009,USA,Human,Human,Human,USA,1
485_8729,2013,United Kingdom,Human,Human,Human,GBR,2
485_260,2009,USA,Human,Human,Human,USA,1
485_9737,2013,Ireland,Human,Human,Human,IRL,1
485_245,2010,USA,Human,Human,Human,USA,1
485_3888,2013,USA,Human,Human,Human,USA,911
485_7006,2015,New Zealand,Human,Human,Human,NZL,649
485_15616,2017,Australia,Human,,,AUS,3
