Genome ID,amikacin,aztreonam,cefepime,ceftazidime,ciprofloxacin,colistin,gentamicin,imipenem,levofloxacin,meropenem,piperacillin_tazobactam,tobramycin
287_1164,R,,,,,S,,,R,R,,
287_1042,S,,,R,,S,,,R,R,,
287_1018,S,,,,,S,,,R,S,,
1402508_3,R,,,S,S,S,R,S,R,,,S
287_1082,S,,,,,S,,,S,S,,
287_1088,S,,,R,,S,,,R,S,,
287_892,S,,,,,S,,,S,S,,
287_863,S,,,,,S,,,S,S,,
287_8499,,,,,R,S,R,,R,,,R
287_899,S,,,S,,S,,,S,S,,
287_875,S,,,S,,S,,,S,S,,
287_866,S,,,,,S,,,S,S,,
287_1092,S,,,,,S,,,R,R,,
287_1107,S,,,S,,S,,,S,S,,
287_928,S,,,S,,S,,,S,S,,
287_1070,S,,,,,S,,,R,S,,
287_919,S,,,,,S,,,S,S,,
287_32646,,,,,R,,,R,,,,
287_1069,S,,,S,,S,,,R,S,,
287_996,S,,,,,S,,,R,R,,
1402513_3,S,,,S,S,S,S,S,S,,,S
287_900,S,,,,,S,,,R,S,,
287_32656,,,,,R,,,R,,,,
287_1057,S,,,,,S,,,S,S,,
287_1191,S,,,,,,,,S,S,,
287_32648,,,,,R,,,R,,,,
287_32663,,,,,R,,,,,,,
1447540_3,S,,,S,S,S,S,S,S,,,S
287_865,S,,,,,S,,,S,S,,
287_1076,S,,,,,S,,,S,S,,
287_853,R,,,,,S,,,R,R,,
287_964,S,,,S,,S,,,R,R,,
287_32682,,,,,R,,,,,,,
287_8497,,,R,,,S,R,,,,,
287_963,S,,,,,S,,,S,S,,
287_32654,,,,,R,,,R,,,,
287_4078,,S,S,S,,,,S,,S,S,
287_997,S,,,,,S,,,R,S,,
287_1238,S,,,R,,S,,,R,S,,
287_1020,S,,,,,S,,,S,S,,
287_1150,S,,,R,,S,,,R,R,,
287_8500,,,,,,,R,,,,,
287_1151,S,,,R,,S,,,R,R,,
1402510_3,S,,,S,S,S,S,S,S,,,S
287_32659,,,,,R,,,R,,,,
287_32662,,,,,R,,,R,,,,
287_1192,S,,,R,,,,,R,R,,
287_1207,S,,,,,S,,,S,S,,
287_1005,S,,,,,S,,,S,S,,
287_901,S,,,,,S,,,S,S,,
287_32668,,,,,R,,,,,,,
287_32673,,,,,R,,,R,,,,
287_32676,,,,,R,,,R,,,,
287_10646,,,,,S,,S,,,,,
287_921,S,,,S,,S,,,R,S,,
287_1250,S,,,,,,,,S,,,
287_4059,,R,R,R,,,,,,S,S,
287_857,S,,,,,S,,,S,S,,
287_1222,R,,,S,,S,,,S,S,,
