Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
85569_251,,R,,,,,,,,,R,S,,S,S,S,,R,S,,,S,R,,,R,R,,S,
590_15231,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
28901_21083,,R,,,R,S,R,,,,,R,,,,,S,R,,,,,,,,,,,,R
590_12331,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_3504,,S,,,,,,,,S,S,S,,,,,,R,,,,,,,,,,,,S
90370_3100,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
85569_372,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
363569_37,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_295,,R,,,,,,,,,R,S,,S,S,S,,R,S,,,R,R,,,R,R,,S,
590_11961,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5508,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
28901_16311,,R,,,,,,,S,,S,S,,,S,S,,S,,,,,R,,R,,R,,,S
90370_2994,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90370_4904,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
90370_4924,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
85569_200,,S,,,,,,,,,S,S,,S,S,S,,S,S,,,S,S,,,R,S,,R,
590_16389,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
108619_163,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_12459,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_3091,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
54388_194,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_2976,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
85569_271,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_14023,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_12241,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
54388_314,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
28901_832,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
46626_41,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_81,,S,,,,,,,,,S,S,,S,S,S,,S,S,,,S,S,,,R,R,,R,
590_12326,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
85569_277,,S,,,,,,,,,S,S,,S,S,R,,S,S,,,R,R,,,R,R,,S,
90370_5523,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
590_14354,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
90371_2484,R,R,,,,S,,S,S,,R,S,,,,,,S,,,,,R,,R,,R,,,S
90370_2537,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12078,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_15762,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_821,R,R,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,R,,S,,,S
90370_4950,,S,,,,,,,,S,S,S,,,,,,S,,,,,,,,,,,,S
59201_4139,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
90370_3420,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
85569_179,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_3020,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
85569_211,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_4783,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_4930,,S,,,,,,,,S,S,S,,,,,,R,,,,,,,,,,,,S
90370_2992,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12247,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
90370_5515,,S,S,,,,,,S,,S,R,S,,S,,,R,,,R,,,,,,S,,,S
108619_177,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
600_42,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_16178,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_14087,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_16832,R,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5379,S,R,,,,,S,,S,,R,S,,,S,,,S,,S,,,,,,,,,R,
192955_380,,R,S,,,S,S,,S,,S,R,,,R,S,,R,S,,,R,R,,,R,R,,S,
90371_5391,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
590_12403,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_4093,,R,S,,,,S,,S,,R,R,,,S,,S,,,,R,,,,,,S,,,R
590_14941,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
399587_67,S,R,R,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,R,,,R,S,R,
590_12613,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_12545,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5292,S,R,,,,,S,,S,,R,S,,,S,,,S,,S,,,,,,,,,R,
590_12565,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_15134,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_5461,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
600_43,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90371_2140,S,S,,,,S,,S,S,,S,S,,,,,,S,,,,,R,,R,,S,,,S
28901_862,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_178,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
85569_120,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
54388_384,,S,S,,,,S,,S,,S,S,S,,S,,S,S,,,,,,,,,S,,,S
54388_343,,S,S,,,,,,,,S,S,,,,,,R,,,,S,S,,,S,S,,S,
85569_282,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_12243,S,S,,,,R,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
192955_202,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,R,,,S
590_12561,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_825,R,R,S,,,R,,R,R,,R,R,,,S,,,R,,,,,R,,R,,R,,,S
590_12253,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_2944,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
108619_98,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
90371_5332,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
90371_5296,S,R,,,,,S,,S,,R,S,,,S,,,S,,S,,,,,,,,,S,
90370_2861,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
98360_93,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,R
98360_90,R,R,,,,R,,R,R,,S,S,,,,,,S,,,,,R,,R,,R,,,S
590_12471,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
28901_776,R,R,S,,,R,,R,R,,R,S,,,R,,,S,,,,,R,,R,,S,,,S
