Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_3888,R,S,,S,S,,,,,
485_7006,S,,,,S,,,,,
485_15616,S,,,S,S,,,R,S,S
485_562,R,S,,S,,,,,,
485_14977,S,,,S,S,,,S,S,S
485_13068,R,,,S,S,,,S,S,S
485_14852,S,,,S,S,,,S,S,S
485_12997,R,,,S,S,,,S,S,S
485_805,S,S,,S,R,R,,R,S,R
485_4376,R,S,,S,R,,,,,
485_209,S,S,R,S,R,,,,S,R
485_13613,S,,,S,S,,,S,S,S
485_4458,R,S,,S,S,,,,,
485_9281,S,S,,S,S,,,,,
485_9222,S,S,,S,S,,,,,
485_14034,S,,,S,R,,,R,S,
485_16737,S,,,S,R,,,S,S,S
485_212,S,S,S,S,R,,,,S,R
485_14883,S,,,S,R,,,S,S,S
485_779,S,S,,S,S,S,,R,S,R
485_9775,S,S,,S,R,,,,S,R
485_17060,S,,,S,S,,,S,S,S
485_14866,S,,,S,S,,,S,S,S
485_210,S,S,R,S,R,,,,S,R
485_17847,,S,,S,R,,R,,,
485_9128,S,S,,S,R,,,,,
485_282,S,S,S,S,R,,,,S,R
485_17454,S,,,S,S,,,S,S,S
485_14284,S,,,S,S,,,S,S,S
485_14393,S,,,S,R,,,R,S,S
485_13993,S,,,S,S,,,S,S,S
485_13280,S,,,S,R,,,S,S,S
485_9652,S,,,S,S,,,R,S,S
485_8445,S,S,,S,S,,,,,
485_13196,S,,,S,R,,,S,S,S
485_14951,S,,,S,R,,,R,S,S
485_8316,S,S,,S,,,,,,
485_16463,S,,,S,S,,,R,S,S
485_17646,S,,,S,S,,,S,S,S
485_123,S,S,S,S,S,,,,S,R
485_15525,R,,,S,S,,,S,S,S
485_9618,S,R,,R,,,,,,
485_9526,S,S,,S,R,,,,,
485_14564,S,,,S,S,,,R,S,S
485_753,S,S,,S,R,R,,R,S,R
485_3745,R,S,,S,R,,,,,
485_846,S,S,,S,R,R,,R,S,R
485_12899,S,,,S,S,,,S,S,S
485_4056,S,S,,S,R,,,,,
485_15636,S,,,S,R,,,R,S,S
485_9722,S,,,S,R,,,R,S,
485_16753,S,,,S,S,,,S,S,
485_17615,S,,,S,S,,,S,S,S
485_4764,S,S,,S,,,,,,
485_12938,S,,,S,R,,,S,S,S
485_17819,,S,,S,R,,R,,,
485_864,S,S,,S,S,S,,R,S,R
485_3626,S,S,,S,R,,,,,
485_3763,R,S,,S,S,,,,,
485_5454,S,S,,S,S,,,,,
485_15539,S,,,S,R,,,R,S,S
485_5643,S,S,,S,R,,,,,
485_101,R,S,R,S,R,,,,S,R
485_154,S,S,S,S,R,,,,S,R
485_5409,S,S,,S,S,,,,,
485_14804,R,,,S,S,,,S,S,S
485_13876,S,,,S,S,,,S,S,S
485_9025,S,S,,S,R,,,,,
485_393,S,S,,S,R,,,,,
485_17811,,S,,S,R,,R,,,
485_16421,S,,,S,S,,,S,S,S
485_4296,S,S,,S,R,,,,,
485_9656,S,,,S,S,,,R,S,S
485_13128,S,,,S,S,,,R,S,S
485_13014,S,,,S,R,,,S,S,S
485_14516,S,,,S,S,,,S,S,S
485_14968,S,,,S,S,,,S,S,S
485_9215,S,S,,S,R,,,,,
485_17749,,S,,S,R,,R,,,
485_5034,S,S,,S,S,,,,,
485_4424,R,S,,S,R,,,,,
485_12894,S,,,S,S,,,S,S,S
485_8325,S,S,,S,R,,,,,
485_5476,S,S,,S,R,,,,,
485_14787,S,,,S,R,,,S,S,S
485_6865,S,,,,R,,,,,
485_8516,S,S,,S,S,,,,,
485_14334,S,,,S,R,,,S,S,S
485_15633,S,,,S,S,,,S,S,S
485_13643,S,,,S,R,,,R,S,S
485_5307,S,S,,S,S,,,,,
485_5653,S,S,,S,R,,,,,
485_9062,S,S,,S,S,,,,,
485_15561,S,,,S,R,,,S,S,S
485_8915,S,S,,S,R,,,,,
485_14347,S,,,S,S,,,S,S,S
485_14054,S,,,S,S,,,S,S,S
485_13260,S,,,S,R,,,S,S,S
485_15577,S,,,S,S,,,S,S,S
485_181,S,S,S,S,S,,,,S,R
485_17656,S,,,S,S,,,R,S,S
485_14485,S,,,S,R,,,R,S,S
485_9464,S,S,,S,R,,,,,
485_16486,S,,,S,S,,,S,S,S
485_15482,S,S,,S,S,,,,,
