,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_34325,,,,R,,,R,,S,R,,R
1313_46974,,S,S,S,,S,S,,,S,,S
1313_27158,,,,R,,,S,,S,S,,R
1313_6219,,,,,,,S,,,,,
1313_12010,,S,,R,,,,,,,,
1313_22097,,,,S,,,S,,S,,,S
1313_30278,,,,S,,,S,,S,S,,R
1313_23207,,,,,,,R,,S,,,
1313_10079,,S,,R,,,,,,,,
1313_33431,,,,S,,,S,,S,S,,S
1313_27341,,,,R,,,S,,R,S,,S
1313_27950,,,,S,,,R,,S,S,,S
1313_12418,,S,,R,,,,,,,,
1313_34350,,,,R,,,R,,R,S,,R
1313_34348,,,,R,,,R,,R,R,,R
1313_32704,,,,S,,,,,,,,
1313_27368,,,,S,,,S,,S,S,,S
1313_24545,,,,S,,,S,,S,S,,S
1313_25595,,,,R,,,R,,,,,R
1313_23025,,,,,,,S,,S,S,,R
1313_5913,,S,,,,,R,,,S,,R
1313_30677,,,,R,,,R,,,S,,
1313_30741,,,,R,,,S,,S,S,,S
1313_33544,,,,S,,,S,,S,S,,S
1313_25341,,,,S,,,S,,S,S,,S
1313_11343,,S,,R,,,,,,,,
1313_26818,,,,S,,,S,,S,S,,R
1313_26940,,,,S,,,S,,R,S,,S
1313_23508,,,,R,,,S,,S,S,,S
1313_22091,,,,S,,,S,,S,,,S
1313_33278,,,,S,,,S,,S,S,,R
1313_33400,,,,S,,,S,,S,S,,S
1313_12632,,S,,R,,,,,,,,
1313_27217,,,,R,,,S,,S,S,,S
1313_31042,,,,S,,,S,,,S,,R
1313_30825,,,,R,,,S,,R,S,,S
1313_6004,,S,,,,,S,,,,,
1313_23165,,,,,,,S,,S,,,
1313_25276,,,,,,,S,,S,S,,R
1313_27454,,,,S,,,S,,S,S,,S
1313_20992,,,,S,,,S,,R,S,,S
1313_32819,,,,S,,,R,,S,S,,S
1313_27385,,,,R,,,S,,S,S,,R
1313_12147,,S,,R,,,,,,,,
1313_26890,,,,R,,,S,,S,S,,S
1313_46621,,S,S,S,,S,S,,,S,,S
1313_33443,,,,S,,,S,,S,S,,S
1313_12389,,S,,R,,,,,,,,
1313_26689,,,,R,,,R,,S,S,,S
1313_6677,,R,,,,,R,,,S,,R
1313_26164,,,,R,,,S,,R,S,,R
1313_33289,,,,R,,,R,,S,,,R
1313_31056,,,,R,,,S,,R,S,,S
1313_25278,,,,,,,R,,R,S,,R
1313_33342,,,,S,,,S,,S,S,,R
1313_27252,,,,S,,,S,,S,S,,R
1313_27143,,,,S,,,S,,S,S,,R
1313_24581,,,,R,,,R,,R,S,,R
1313_10060,,S,,R,,,,,,,,
1313_31725,,,,R,,,S,,S,S,,S
1313_34161,,,,R,,,R,,S,S,,S
1313_24880,,,,R,,,S,,S,S,,R
1313_32639,,,,R,,,S,,S,S,,R
1313_11805,,S,,R,,,,,,,,
1313_46947,,S,S,S,,R,R,,,R,,R
1313_23734,,,,R,,,R,,S,S,,R
1313_25698,,,,R,,,S,,S,S,,R
1313_24407,,,,S,,,S,,S,S,,S
1313_30711,,,,R,,,S,,R,S,,S
1313_22655,,,,,,,S,,R,,,S
1313_27133,,,,S,,,S,,S,S,,R
1313_24789,,,,,,,S,,S,S,,R
1313_12485,,S,,S,,,,,,,,
1313_32122,,,,,,,S,,R,S,,R
1313_29817,,,,S,,,S,,S,,,S
1313_17396,S,S,,S,,S,S,,S,,,S
1313_42040,S,S,,S,,S,S,,S,,,S
1313_25604,,,,R,,,,,R,,,
1313_20241,,,,S,,,S,,,S,,S
1313_23369,,,,R,,,R,,R,S,,R
1313_20668,,,,S,,,S,,,R,,R
1313_32176,,,,S,,,S,,S,S,,R
1313_21809,,,,S,,,S,,S,,,S
1313_22234,,,,S,,,S,,S,S,,S
1313_26541,,,,R,,,S,,S,S,,R
1313_26137,,,,R,,,R,,R,S,,R
1313_26125,,,,S,,,S,,S,R,,R
1313_24132,,,,,,,S,,S,,,
1313_24745,,,,,,,S,,R,S,,R
1313_29847,,,,S,,,S,,S,,,S
1313_24012,,,,R,,,S,,,R,,R
1313_33797,,,,S,,,S,,S,S,,R
1313_24610,,,,R,,,S,,R,S,,S
1313_22986,,,,,,,S,,S,S,,R
1313_25315,,,,S,,,R,,S,S,,S
1313_24500,,,,R,,,R,,R,S,,R
1313_23568,,,,S,,,S,,,S,,S
1313_47177,,S,S,R,,S,R,,,S,,R
1313_22555,,,,R,,,S,,S,,,S
1313_46973,,R,S,R,,R,R,,,S,,S
1313_34328,,,,R,,,R,,R,R,,R
1313_32736,,,,R,,,R,,S,S,,R
1313_23649,,,,R,,,S,,S,R,,R
1313_27238,,,,R,,,R,,S,S,,R
1313_47175,,S,S,R,,S,S,,,S,,S
1313_30558,,,,,,,R,,R,,,
1313_32395,,,,R,,,R,,S,,,R
1313_30353,,,,,,,S,,R,S,,R
1313_17434,S,S,,S,,S,S,,S,,,S
1313_23180,,,,,,,R,,R,,,
1313_33839,,,,S,,,S,,S,S,,S
1313_46828,,S,S,R,,R,R,,,S,,S
1313_31023,,,,R,,,S,,R,S,,S
1313_31923,,,,,,,S,,R,,,R
1313_24728,,,,,,,R,,S,S,,R
1313_9128,,,,S,,,S,,S,S,,R
1313_25802,,,,S,,,R,,S,S,,S
1313_25318,,,,S,,,S,,S,S,,S
1313_10540,,S,,R,,,,,,,,
1313_47186,,S,S,S,,S,S,,,S,,S
1313_29813,,,,R,,,S,,R,,,S
1313_27314,,,,R,,,S,,S,R,,R
1313_10493,,S,,R,,,,,,,,
1313_22090,,,,S,,,S,,S,,,S
1313_20302,,,,S,,,S,,,S,,R
1313_6086,,S,,,,,S,,,,,S
1313_25472,,,,S,,,,,,,,
1313_41956,S,S,,S,,S,R,,S,,,S
1313_33396,,,,S,,,S,,S,S,,S
1313_10360,,S,,R,,,,,,,,
1313_24377,,,,R,,,S,,R,S,,S
1313_27393,,,,R,,,S,,S,S,,S
1313_32070,,,,,,,S,,,S,,S
1313_31227,,,,R,,,S,,,S,,R
1313_22532,,,,R,,,S,,R,,,S
1313_10210,,R,,R,,,,,,,,
1313_31130,,,,R,,,S,,,S,,R
1313_22977,,,,,,,R,,R,R,,R
1313_12817,,S,,S,,,,,,,,
1313_32510,,,,S,,,S,,S,S,,R
1313_33221,,,,R,,,R,,S,R,,R
1313_32278,,,,R,,,,,R,,,
1313_34071,,,,R,,,S,,,S,,R
1313_22664,,,,S,,,S,,S,S,,S
1313_26134,,,,S,,,S,,S,S,,R
1313_23428,,,,R,,,S,,S,S,,S
760856_3,R,R,S,R,S,S,R,S,R,S,S,S
760834_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_31135,,,,R,,,S,,S,S,,S
1313_26647,,,,R,,,S,,S,S,,R
1313_23811,,,,S,,,R,,S,S,,R
1313_24076,,,,R,,,S,,,S,,S
1313_33580,,,,S,,,S,,S,S,,R
1313_29766,,,,R,,,R,,R,,,R
1313_33841,,,,S,,,S,,S,S,,S
1313_22123,,,,S,,,S,,S,,,S
1313_20491,,,,S,,,S,,R,S,,S
760803_3,S,S,S,S,S,S,R,S,S,S,S,S
1313_34233,,,,S,,,S,,S,S,,R
1313_26742,,,,R,,,S,,S,S,,S
1313_25938,,,,,,,S,,S,,,R
1313_25410,,,,S,,,S,,S,S,,S
1313_34476,,,,R,,,R,,R,R,,R
1313_32081,,,,,,,S,,,S,,R
1313_30339,,,,,,,S,,S,S,,R
1313_31169,,,,R,,,S,,,S,,R
1313_11289,,S,,R,,,,,,,,
1313_10571,,S,,R,,,,,,,,
1313_27928,,,,S,,,S,,S,S,,S
1313_46832,,R,S,R,,R,R,,,S,,R
1313_25906,,,,R,,,,,,,,
1313_31885,,,,S,,,S,,S,S,,S
1313_32547,,,,S,,,,,,,,
1313_47202,,S,S,R,,R,R,,,S,,R
1313_33324,,,,S,,,S,,S,S,,R
1313_17386,S,S,,S,,S,R,,S,,,S
1313_27151,,,,R,,,S,,S,S,,R
1313_26494,,,,S,,,S,,S,S,,R
1313_46544,,S,S,R,,S,R,,,S,,R
1313_30793,,,,R,,,R,,R,S,,R
1313_22545,,,,R,,,S,,S,,,S
1313_25569,,,,R,,,S,,R,S,,R
1313_22994,,,,,,,S,,S,S,,R
1313_23993,,,,R,,,S,,,S,,R
1105121_3,R,R,S,R,S,R,R,S,R,S,S,R
1313_24946,,,,S,,,S,,S,S,,R
1313_31091,,,,R,,,S,,,S,,S
